ID;KOD;NAZWA;mlodzi;sredni;starsi;suma
1;1218082;Tomice;1559;5760;920;8239
2;212033;Lwówek Śląski;2733;13273;2138;18144
3;414112;Warlubie;1221;4813;652;6686
4;416022;Gostycyn;957;3800;589;5346
5;601032;Biała Podlaska;2598;9342;1671;13611
6;601182;Wisznice;806;3527;850;5183
7;601142;Sławatycze;415;1621;483;2519
8;601112;Piszczac;1288;5006;1124;7418
9;601132;Rossosz;405;1620;364;2389
10;1003012;Buczek;784;3520;727;5031
11;1417011;Józefów;3453;13000;2582;19035
12;1417032;Celestynów;1888;8189;1308;11385
13;1437022;Kuczbork-Osada;847;3344;775;4966
14;2002013;Choroszcz;2176;10062;1789;14027
15;416063;Tuchola;3196;14180;2326;19702
16;418063;Chodecz;938;4658;882;6478
17;602142;Turobin;838;4161;1497;6496
18;802052;Gubin;1415;6369;911;8695
19;802011;Gubin;2231;11027;1759;15017
20;802032;Bytnica;458;2116;322;2896
21;1004082;Witonia;450;2339;539;3328
22;1418032;Lesznowola;3804;11706;1347;16857
23;1419022;Bodzanów;1333;5982;1245;8560
24;1816042;Chmielnik;1272;4789;990;7051
25;1816132;Trzebownisko;3616;14082;2394;20092
26;2002063;Łapy;3115;16440;3220;22775
27;2002082;Poświętne;604;2394;618;3616
28;418123;Lubraniec;1521;6991;1519;10031
29;2464011;Częstochowa;29337;169401;36892;235630
30;803023;Międzyrzecz;3778;18360;3070;25208
31;804023;Bytom Odrzański;795;3388;487;4670
32;805033;Ośno Lubuskie;1114;4699;694;6507
33;1006103;Rzgów;1573;7151;1264;9988
34;1007052;Paradyż;901;3039;660;4600
35;1007043;Opoczno;5854;25565;4013;35432
36;1007072;Sławno;1425;5059;1083;7567
37;1420122;Załuski;999;3954;775;5728
38;1605013;Gogolin;1651;8957;1898;12506
39;1605053;Zdzieszowice;2296;12325;1900;16521
40;216053;Przemków;1332;6448;1060;8840
41;217012;Borów;767;3737;711;5215
42;2402052;Jasienica;4053;16389;2621;23063
43;2402093;Wilamowice;2599;10914;2045;15558
44;614032;Janowiec;592;2671;507;3770
45;614052;Końskowola;1379;6361;1494;9234
46;614092;Puławy;2101;9345;2021;13467
47;2206052;Liniewo;852;3265;509;4626
48;1019032;Zapolice;779;3549;634;4962
49;1018032;Galewice;1060;4420;839;6319
50;1805092;Skołyszyn;2028;8685;1612;12325
51;1807092;Wojaszówka;1486;6311;1290;9087
52;226011;Wojcieszów;581;2978;496;4055
