TERYT;Wojewodztwo;Powiat;pow;typ;TOT;mlodzi;sredni;starsi;Przemysl;DPS;szkoly;X;Y
1815;podkarpackie;ropczycko-sędziszowski;546,4;ziemski;72846;12968;50771;9087;13;2;47;689196;245669
1410;mazowieckie;łosicki;769,5;ziemski;32881;5108;22419;5315;6;0;29;762522;491156
1418;mazowieckie;piaseczyński;618,6;ziemski;162478;29804;113985;18655;7;8;61;636050;462982
1425;mazowieckie;radomski;1524,1;ziemski;148374;26412;104600;17331;11;4;95;650551;387683
1427;mazowieckie;sierpecki;848,6;ziemski;53930;8901;37760;7217;18;2;37;547950;552233
1404;mazowieckie;gostyniński;612,4;ziemski;47012;7049;33434;6514;3;4;25;542308;502843
1405;mazowieckie;grodziski;365,6;ziemski;86185;14307;60338;11532;4;4;42;609243;467613
611;lubelskie;łukowski;1388,9;ziemski;110168;19760;75661;14685;27;4;84;723080;447994
618;lubelskie;tomaszowski;1481,6;ziemski;88130;13448;61317;13280;10;1;74;820611;299885
662;lubelskie;Chełm;35,2;grodzki;64797;8605;47749;8443;4;1;29;813959;372789
1202;małopolskie;brzeski;588,6;ziemski;90906;15974;63489;11431;16;2;48;618212;236197
1261;małopolskie;Kraków;325,7;grodzki;759269;97130;541964;120175;32;11;194;571918;242665
1020;łódzkie;zgierski;851,9;ziemski;164471;23508;117171;23730;15;4;45;533029;448755
807;lubuskie;sulęciński;1173,2;ziemski;36087;5856;26018;4152;4;1;18;231490;514281
1810;podkarpackie;łańcucki;450,3;ziemski;79422;13560;54781;11081;10;1;48;733760;251714
1601;opolskie;brzeski;872,9;ziemski;92289;14102;66173;11977;11;3;47;393248;325800
3018;wielkopolskie;ostrzeszowski;769,9;ziemski;55745;9556;39669;6531;7;3;32;433536;397221
1463;mazowieckie;Radom;111,4;grodzki;222348;32262;159128;30955;10;6;80;649881;396720
1438;mazowieckie;żyrardowski;530,5;ziemski;76534;11931;54090;10452;10;4;40;598326;460312
3016;wielkopolskie;obornicki;708,2;ziemski;58190;10296;42082;5787;13;1;30;355117;541160
3013;wielkopolskie;leszczyński;802,7;ziemski;52728;9727;37745;5243;8;0;17;327951;445586
1464;mazowieckie;Siedlce;31,7;grodzki;76756;11886;55817;9056;4;1;22;723973;482353
3063;wielkopolskie;Leszno;31,7;grodzki;64303;9780;46577;7946;1;1;29;333075;444748
3009;wielkopolskie;kolski;1006,7;ziemski;89479;14311;63350;11773;14;1;53;485049;486534
2062;podlaskie;Łomża;32,5;grodzki;63342;9101;47436;6808;3;0;31;704327;595180
3022;wielkopolskie;rawicki;551,4;ziemski;60227;10422;42842;6949;3;2;22;358171;421829
3023;wielkopolskie;słupecki;834,7;ziemski;59978;9762;42949;7204;6;3;30;425619;494808
