Kod gminy miejsca zamieszkania;Kod gminy miejsca pracy;Liczba osób;Gmina miejsca zamieszkania;"Kod woj. miejsca zamieszkania";"Województwo miejsca zamieszkania";Gmina miejsca pracy;"Kod woj. miejsca pracy";"Województwo miejsca pracy"
0201011;0201022;189;Bolesławiec;02;Dolnośląskie;Bolesławiec;02;Dolnośląskie
0201011;0201032;56;Bolesławiec;02;Dolnośląskie;Gromadka;02;Dolnośląskie
0201011;0201044;65;Bolesławiec;02;Dolnośląskie;Nowogrodziec - miasto;02;Dolnośląskie
0201011;0201045;178;Bolesławiec;02;Dolnośląskie;Nowogrodziec - obszar wiejski;02;Dolnośląskie
0201011;0201052;93;Bolesławiec;02;Dolnośląskie;Osiecznica;02;Dolnośląskie
0201011;0201062;124;Bolesławiec;02;Dolnośląskie;Warta Bolesławiecka;02;Dolnośląskie
0201011;0209011;15;Bolesławiec;02;Dolnośląskie;Chojnów;02;Dolnośląskie
0201011;0210011;16;Bolesławiec;02;Dolnośląskie;Lubań;02;Dolnośląskie
0201011;0211011;33;Bolesławiec;02;Dolnośląskie;Lubin;02;Dolnośląskie
0201011;0212034;24;Bolesławiec;02;Dolnośląskie;Lwówek Śląski - miasto;02;Dolnośląskie
0201011;0212035;62;Bolesławiec;02;Dolnośląskie;Lwówek Śląski - obszar wiejski;02;Dolnośląskie
0201011;0216044;45;Bolesławiec;02;Dolnośląskie;Polkowice - miasto;02;Dolnośląskie
0201011;0216045;31;Bolesławiec;02;Dolnośląskie;Polkowice - obszar wiejski;02;Dolnośląskie
0201011;0223052;10;Bolesławiec;02;Dolnośląskie;Kobierzyce;02;Dolnośląskie
0201011;0225021;29;Bolesławiec;02;Dolnośląskie;Zgorzelec;02;Dolnośląskie
0201011;0261011;14;Bolesławiec;02;Dolnośląskie;Jelenia Góra;02;Dolnośląskie
0201011;0262011;64;Bolesławiec;02;Dolnośląskie;Legnica;02;Dolnośląskie
0201011;0264011;157;Bolesławiec;02;Dolnośląskie;Wrocław;02;Dolnośląskie
0201011;0265011;10;Bolesławiec;02;Dolnośląskie;Wałbrzych;02;Dolnośląskie
0201011;0804011;17;Bolesławiec;02;Dolnośląskie;Nowa Sól;08;Lubuskie
0201011;0811021;10;Bolesławiec;02;Dolnośląskie;Żary;08;Lubuskie
0201011;1465011;134;Bolesławiec;02;Dolnośląskie;Warszawa;14;Mazowieckie
0201022;0201011;1331;Bolesławiec;02;Dolnośląskie;Bolesławiec;02;Dolnośląskie
0201022;0201032;36;Bolesławiec;02;Dolnośląskie;Gromadka;02;Dolnośląskie
0201022;0201044;23;Bolesławiec;02;Dolnośląskie;Nowogrodziec - miasto;02;Dolnośląskie
0201022;0201045;49;Bolesławiec;02;Dolnośląskie;Nowogrodziec - obszar wiejski;02;Dolnośląskie
0201022;0201052;79;Bolesławiec;02;Dolnośląskie;Osiecznica;02;Dolnośląskie
0201022;0201062;54;Bolesławiec;02;Dolnośląskie;Warta Bolesławiecka;02;Dolnośląskie
0201022;0209022;10;Bolesławiec;02;Dolnośląskie;Chojnów;02;Dolnośląskie
0201022;0211011;12;Bolesławiec;02;Dolnośląskie;Lubin;02;Dolnośląskie
0201022;0212035;27;Bolesławiec;02;Dolnośląskie;Lwówek Śląski - obszar wiejski;02;Dolnośląskie
0201022;0216044;14;Bolesławiec;02;Dolnośląskie;Polkowice - miasto;02;Dolnośląskie
0201022;0223052;10;Bolesławiec;02;Dolnośląskie;Kobierzyce;02;Dolnośląskie
0201022;0225021;26;Bolesławiec;02;Dolnośląskie;Zgorzelec;02;Dolnośląskie
0201022;0261011;14;Bolesławiec;02;Dolnośląskie;Jelenia Góra;02;Dolnośląskie
0201022;0262011;25;Bolesławiec;02;Dolnośląskie;Legnica;02;Dolnośląskie
0201022;0264011;180;Bolesławiec;02;Dolnośląskie;Wrocław;02;Dolnośląskie
0201022;1061011;14;Bolesławiec;02;Dolnośląskie;Łódź;10;Łódzkie
0201022;1465011;33;Bolesławiec;02;Dolnośląskie;Warszawa;14;Mazowieckie
0201032;0201011;288;Gromadka;02;Dolnośląskie;Bolesławiec;02;Dolnośląskie
0201032;0201022;52;Gromadka;02;Dolnośląskie;Bolesławiec;02;Dolnośląskie
0201032;0201062;15;Gromadka;02;Dolnośląskie;Warta Bolesławiecka;02;Dolnośląskie
0201032;0209011;10;Gromadka;02;Dolnośląskie;Chojnów;02;Dolnośląskie
0201032;0211011;27;Gromadka;02;Dolnośląskie;Lubin;02;Dolnośląskie
0201032;0216014;26;Gromadka;02;Dolnośląskie;Chocianów - miasto;02;Dolnośląskie
0201032;0216044;65;Gromadka;02;Dolnośląskie;Polkowice - miasto;02;Dolnośląskie
0201032;0216045;17;Gromadka;02;Dolnośląskie;Polkowice - obszar wiejski;02;Dolnośląskie
0201032;0225021;12;Gromadka;02;Dolnośląskie;Zgorzelec;02;Dolnośląskie
0201032;0225052;13;Gromadka;02;Dolnośląskie;Sulików;02;Dolnośląskie
0201032;0262011;20;Gromadka;02;Dolnośląskie;Legnica;02;Dolnośląskie
0201032;0264011;76;Gromadka;02;Dolnośląskie;Wrocław;02;Dolnośląskie
0201032;1061011;13;Gromadka;02;Dolnośląskie;Łódź;10;Łódzkie
0201032;1465011;14;Gromadka;02;Dolnośląskie;Warszawa;14;Mazowieckie
0201032;3022055;12;Gromadka;02;Dolnośląskie;Rawicz - obszar wiejski;30;Wielkopolskie
0201044;0201011;166;Nowogrodziec - miasto;02;Dolnośląskie;Bolesławiec;02;Dolnośląskie
0201044;0201022;18;Nowogrodziec - miasto;02;Dolnośląskie;Bolesławiec;02;Dolnośląskie
0201044;0201045;123;Nowogrodziec - miasto;02;Dolnośląskie;Nowogrodziec - obszar wiejski;02;Dolnośląskie
