terytSzkoly;gminaSzkoly;terytZamieszkania;gminaZamieszkania;typSzkoly;liczbaOsob
264011;M. Wrocław;214011;Oleśnica;podstawowe;16
264011;M. Wrocław;214062;Oleśnica;podstawowe;12
264011;M. Wrocław;215033;Jelcz-Laskowice;podstawowe;18
264011;M. Wrocław;215042;Oława;podstawowe;12
264011;M. Wrocław;218032;Miękinia;podstawowe;192
264011;M. Wrocław;220013;Oborniki Śląskie;podstawowe;35
264011;M. Wrocław;220033;Trzebnica;podstawowe;11
264011;M. Wrocław;220042;Wisznia Mała;podstawowe;91
264011;M. Wrocław;223012;Czernica;podstawowe;187
264011;M. Wrocław;223022;Długołęka;podstawowe;354
264011;M. Wrocław;223043;Kąty Wrocławskie;podstawowe;189
264011;M. Wrocław;223052;Kobierzyce;podstawowe;225
264011;M. Wrocław;223083;Siechnice;podstawowe;156
264011;M. Wrocław;223092;Żórawina;podstawowe;98
264011;M. Wrocław;215033;Jelcz-Laskowice;gimnazjalne;13
264011;M. Wrocław;215042;Oława;gimnazjalne;12
264011;M. Wrocław;218032;Miękinia;gimnazjalne;49
264011;M. Wrocław;220013;Oborniki Śląskie;gimnazjalne;22
264011;M. Wrocław;220033;Trzebnica;gimnazjalne;15
264011;M. Wrocław;220042;Wisznia Mała;gimnazjalne;42
264011;M. Wrocław;223012;Czernica;gimnazjalne;68
264011;M. Wrocław;223022;Długołęka;gimnazjalne;170
264011;M. Wrocław;223043;Kąty Wrocławskie;gimnazjalne;76
264011;M. Wrocław;223052;Kobierzyce;gimnazjalne;79
264011;M. Wrocław;223083;Siechnice;gimnazjalne;105
264011;M. Wrocław;223092;Żórawina;gimnazjalne;29
264011;M. Wrocław;201011;Bolesławiec;ponadgimnazjalne;10
264011;M. Wrocław;202062;Łagiewniki;ponadgimnazjalne;16
264011;M. Wrocław;207011;Kamienna Góra;ponadgimnazjalne;17
264011;M. Wrocław;208021;Kłodzko;ponadgimnazjalne;26
264011;M. Wrocław;208031;Kudowa-Zdrój;ponadgimnazjalne;16
264011;M. Wrocław;208072;Kłodzko;ponadgimnazjalne;13
264011;M. Wrocław;208133;Stronie Śląskie;ponadgimnazjalne;13
264011;M. Wrocław;213033;Milicz;ponadgimnazjalne;16
264011;M. Wrocław;214011;Oleśnica;ponadgimnazjalne;106
264011;M. Wrocław;214023;Bierutów;ponadgimnazjalne;11
264011;M. Wrocław;214032;Dobroszyce;ponadgimnazjalne;13
264011;M. Wrocław;214062;Oleśnica;ponadgimnazjalne;36
264011;M. Wrocław;214073;Syców;ponadgimnazjalne;11
264011;M. Wrocław;215011;Oława;ponadgimnazjalne;43
264011;M. Wrocław;215022;Domaniów;ponadgimnazjalne;25
264011;M. Wrocław;215033;Jelcz-Laskowice;ponadgimnazjalne;157
264011;M. Wrocław;215042;Oława;ponadgimnazjalne;59
264011;M. Wrocław;217012;Borów;ponadgimnazjalne;30
264011;M. Wrocław;217043;Strzelin;ponadgimnazjalne;44
264011;M. Wrocław;218012;Kostomłoty;ponadgimnazjalne;61
264011;M. Wrocław;218022;Malczyce;ponadgimnazjalne;25
