;;powiat bolesławiecki;powiat dzierżoniowski;powiat głogowski;powiat górowski;powiat jaworski;powiat jeleniogórski;powiat kamiennogórski;powiat kłodzki;powiat legnicki;powiat lubański;powiat lubiński;powiat lwówecki;powiat milicki;powiat oleśnicki;powiat oławski;powiat polkowicki;powiat strzeliński;powiat średzki;powiat świdnicki;powiat trzebnicki;powiat wałbrzyski;powiat wołowski;powiat wrocławski;powiat ząbkowicki;powiat zgorzelecki;powiat złotoryjski;powiat Jelenia Góra;powiat Legnica;powiat Wrocław;powiat Wałbrzych;powiat aleksandrowski;powiat brodnicki;powiat bydgoski;powiat chełmiński;powiat golubsko-dobrzyński;powiat grudziądzki;powiat inowrocławski;powiat lipnowski;powiat mogileński;powiat nakielski;powiat radziejowski;powiat rypiński;powiat sępoleński;powiat świecki;powiat toruński;powiat tucholski;powiat wąbrzeski;powiat włocławski;powiat żniński;powiat Bydgoszcz;powiat Grudziądz;powiat Toruń;powiat Włocławek;powiat bialski;powiat biłgorajski;powiat chełmski;powiat hrubieszowski;powiat janowski;powiat krasnostawski;powiat kraśnicki;powiat lubartowski;powiat lubelski;powiat łęczyński;powiat łukowski;powiat opolski;powiat parczewski;powiat puławski;powiat radzyński;powiat rycki;powiat świdnicki;powiat tomaszowski;powiat włodawski;powiat zamojski;powiat Biała Podlaska;powiat Chełm;powiat Lublin;powiat Zamość;powiat gorzowski;powiat krośnieński;powiat międzyrzecki;powiat nowosolski;powiat słubicki;powiat strzelecko-drezdenecki;powiat sulęciński;powiat świebodziński;powiat zielonogórski;powiat żagański;powiat żarski;powiat wschowski;powiat Gorzów Wielkopolski;powiat Zielona Góra;powiat bełchatowski;powiat kutnowski;powiat łaski;powiat łęczycki;powiat łowicki;powiat łódzki wschodni;powiat opoczyński;powiat pabianicki;powiat pajęczański;powiat piotrkowski;powiat poddębicki;powiat radomszczański;powiat rawski;powiat sieradzki;powiat skierniewicki;powiat tomaszowski;powiat wieluński;powiat wieruszowski;powiat zduńskowolski;powiat zgierski;powiat brzeziński;powiat Łódź;powiat Piotrków Trybunalski;powiat Skierniewice;powiat bocheński;powiat brzeski;powiat chrzanowski;powiat dąbrowski;powiat gorlicki;powiat krakowski;powiat limanowski;powiat miechowski;powiat myślenicki;powiat nowosądecki;powiat nowotarski;powiat olkuski;powiat oświęcimski;powiat proszowicki;powiat suski;powiat tarnowski;powiat tatrzański;powiat wadowicki;powiat wielicki;powiat Kraków;powiat Nowy Sącz;powiat Tarnów;powiat białobrzeski;powiat ciechanowski;powiat garwoliński;powiat gostyniński;powiat grodziski;powiat grójecki;powiat kozienicki;powiat legionowski;powiat lipski;powiat łosicki;powiat makowski;powiat miński;powiat mławski;powiat nowodworski;powiat ostrołęcki;powiat ostrowski;powiat otwocki;powiat piaseczyński;powiat płocki;powiat płoński;powiat pruszkowski;powiat przasnyski;powiat przysuski;powiat pułtuski;powiat radomski;powiat siedlecki;powiat sierpecki;powiat sochaczewski;powiat sokołowski;powiat szydłowiecki;powiat warszawski zachodni;powiat węgrowski;powiat wołomiński;powiat wyszkowski;powiat zwoleński;powiat żuromiński;powiat żyrardowski;powiat Ostrołęka;powiat Płock;powiat Radom;powiat Siedlce;powiat Warszawa;powiat brzeski;powiat głubczycki;powiat kędzierzyńsko-kozielski;powiat kluczborski;powiat krapkowicki;powiat namysłowski;powiat nyski;powiat oleski;powiat opolski;powiat prudnicki;powiat strzelecki;powiat Opole;powiat bieszczadzki;powiat brzozowski;powiat dębicki;powiat jarosławski;powiat jasielski;powiat kolbuszowski;powiat krośnieński;powiat leżajski;powiat lubaczowski;powiat łańcucki;powiat mielecki;powiat niżański;powiat przemyski;powiat przeworski;powiat ropczycko-sędziszowski;powiat rzeszowski;powiat sanocki;powiat stalowowolski;powiat strzyżowski;powiat tarnobrzeski;powiat leski;powiat Krosno;powiat Przemyśl;powiat Rzeszów;powiat Tarnobrzeg;powiat augustowski;powiat białostocki;powiat bielski;powiat grajewski;powiat hajnowski;powiat kolneński;powiat łomżyński;powiat moniecki;powiat sejneński;powiat siemiatycki;powiat sokólski;powiat suwalski;powiat wysokomazowiecki;powiat zambrowski;powiat Białystok;powiat Łomża;powiat Suwałki;powiat bytowski;powiat chojnicki;powiat człuchowski;powiat gdański;powiat kartuski;powiat kościerski;powiat kwidzyński;powiat lęborski;powiat malborski;powiat nowodworski;powiat pucki;powiat słupski;powiat starogardzki;powiat tczewski;powiat wejherowski;powiat sztumski;powiat Gdańsk;powiat Gdynia;powiat Słupsk;powiat Sopot;powiat będziński;powiat bielski;powiat cieszyński;powiat częstochowski;powiat gliwicki;powiat kłobucki;powiat lubliniecki;powiat mikołowski;powiat myszkowski;powiat pszczyński;powiat raciborski;powiat rybnicki;powiat tarnogórski;powiat bieruńsko-lędziński;powiat wodzisławski;powiat zawierciański;powiat żywiecki;powiat Bielsko-Biała;powiat Bytom;powiat Chorzów;powiat Częstochowa;powiat Dąbrowa Górnicza;powiat Gliwice;powiat Jastrzębie-Zdrój;powiat Jaworzno;powiat Katowice;powiat Mysłowice;powiat Piekary Śląskie;powiat Ruda Śląska;powiat Rybnik;powiat Siemianowice Śląskie;powiat Sosnowiec;powiat Świętochłowice;powiat Tychy;powiat Zabrze;powiat Żory;powiat buski;powiat jędrzejowski;powiat kazimierski;powiat kielecki;powiat konecki;powiat opatowski;powiat ostrowiecki;powiat pińczowski;powiat sandomierski;powiat skarżyski;powiat starachowicki;powiat staszowski;powiat włoszczowski;powiat Kielce;powiat bartoszycki;powiat braniewski;powiat działdowski;powiat elbląski;powiat ełcki;powiat giżycki;powiat iławski;powiat kętrzyński;powiat lidzbarski;powiat mrągowski;powiat nidzicki;powiat nowomiejski;powiat olecki;powiat olsztyński;powiat ostródzki;powiat piski;powiat szczycieński;powiat gołdapski;powiat węgorzewski;powiat Elbląg;powiat Olsztyn;powiat chodzieski;powiat czarnkowsko-trzcianecki;powiat gnieźnieński;powiat gostyński;powiat grodziski;powiat jarociński;powiat kaliski;powiat kępiński;powiat kolski;powiat koniński;powiat kościański;powiat krotoszyński;powiat leszczyński;powiat międzychodzki;powiat nowotomyski;powiat obornicki;powiat ostrowski;powiat ostrzeszowski;powiat pilski;powiat pleszewski;powiat poznański;powiat rawicki;powiat słupecki;powiat szamotulski;powiat średzki;powiat śremski;powiat turecki;powiat wągrowiecki;powiat wolsztyński;powiat wrzesiński;powiat złotowski;powiat Kalisz;powiat Konin;powiat Leszno;powiat Poznań;powiat białogardzki;powiat choszczeński;powiat drawski;powiat goleniowski;powiat gryficki;powiat gryfiński;powiat kamieński;powiat kołobrzeski;powiat koszaliński;powiat myśliborski;powiat policki;powiat pyrzycki;powiat sławieński;powiat stargardzki;powiat szczecinecki;powiat świdwiński;powiat wałecki;powiat łobeski;powiat Koszalin;powiat Szczecin;powiat Świnoujście
;;201;202;203;204;205;206;207;208;209;210;211;212;213;214;215;216;217;218;219;220;221;222;223;224;225;226;261;262;264;265;401;402;403;404;405;406;407;408;409;410;411;412;413;414;415;416;417;418;419;461;462;463;464;601;602;603;604;605;606;607;608;609;610;611;612;613;614;615;616;617;618;619;620;661;662;663;664;801;802;803;804;805;806;807;808;809;810;811;812;861;862;1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1012;1013;1014;1015;1016;1017;1018;1019;1020;1021;1061;1062;1063;1201;1202;1203;1204;1205;1206;1207;1208;1209;1210;1211;1212;1213;1214;1215;1216;1217;1218;1219;1261;1262;1263;1401;1402;1403;1404;1405;1406;1407;1408;1409;1410;1411;1412;1413;1414;1415;1416;1417;1418;1419;1420;1421;1422;1423;1424;1425;1426;1427;1428;1429;1430;1432;1433;1434;1435;1436;1437;1438;1461;1462;1463;1464;1465;1601;1602;1603;1604;1605;1606;1607;1608;1609;1610;1611;1661;1801;1802;1803;1804;1805;1806;1807;1808;1809;1810;1811;1812;1813;1814;1815;1816;1817;1818;1819;1820;1821;1861;1862;1863;1864;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2061;2062;2063;2201;2202;2203;2204;2205;2206;2207;2208;2209;2210;2211;2212;2213;2214;2215;2216;2261;2262;2263;2264;2401;2402;2403;2404;2405;2406;2407;2408;2409;2410;2411;2412;2413;2414;2415;2416;2417;2461;2462;2463;2464;2465;2466;2467;2468;2469;2470;2471;2472;2473;2474;2475;2476;2477;2478;2479;2601;2602;2603;2604;2605;2606;2607;2608;2609;2610;2611;2612;2613;2661;2801;2802;2803;2804;2805;2806;2807;2808;2809;2810;2811;2812;2813;2814;2815;2816;2817;2818;2819;2861;2862;3001;3002;3003;3004;3005;3006;3007;3008;3009;3010;3011;3012;3013;3014;3015;3016;3017;3018;3019;3020;3021;3022;3023;3024;3025;3026;3027;3028;3029;3030;3031;3061;3062;3063;3064;3201;3202;3203;3204;3205;3206;3207;3208;3209;3210;3211;3212;3213;3214;3215;3216;3217;3218;3261;3262;3263
powiat bolesławiecki;201;49524;;;;;;;;202;525;;325;;;;25;;;;;;;;;642;122;13;68;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;443;115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat dzierżoniowski;202;;52496;;;;;;106;;;;;;;;;37;;341;;;;11;278;;;20;;108;57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat głogowski;203;;;45436;153;;;;;;;124;;;;;699;;;;;;;;;;;;42;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;198;;;;;21;35;;409;;26;;;;;;;;;;;;;;;;;;;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;;;;;;;;;;;;;;;;;;;
powiat górowski;204;;;;19242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;;;;;;;;;;;;28;;;;;;;;;;;;;;;;;;;;;;
powiat jaworski;205;;;;;26899;;12;;11;;;;;;;;;22;178;;;;;;;37;30;176;20;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat jeleniogórski;206;;;;;211;35047;307;;;;10;95;;;;;;;;;19;;;;;243;1730;20;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat kamiennogórski;207;;;;;36;13;23517;;;;;;;;;;;;;;303;;;;;;24;;12;76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat kłodzki;208;;;;;;12;;89665;;;;;;;;;;;;;;;;433;;;23;;25;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat legnicki;209;62;;25;;293;;;;27804;;184;;;;;24;;10;21;;;;;;;175;;1616;47;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;
