wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
Ca³y kraj;Ca³y kraj;4835;1.26;291;60;231;t0000
dolnoœl¹skie;boles³awiecki;28;3.11;1;0;1;t0201
dolnoœl¹skie;dzier¿oniowski;3;0.3;0;0;0;t0202
dolnoœl¹skie;g³ogowski;5;0.56;0;0;0;t0203
dolnoœl¹skie;górowski;2;0.58;0;0;0;t0204
dolnoœl¹skie;jaworski;2;0.4;1;1;0;t0205
dolnoœl¹skie;jeleniogórski;10;1.58;0;0;0;t0206
dolnoœl¹skie;kamiennogórski;2;0.46;0;0;0;t0207
dolnoœl¹skie;k³odzki;6;0.38;0;0;0;t0208
dolnoœl¹skie;legnicki;3;0.54;0;0;0;t0209
dolnoœl¹skie;lubañski;3;0.55;1;1;0;t0210
dolnoœl¹skie;lubiñski;8;0.75;0;0;0;t0211
dolnoœl¹skie;lwówecki;5;1.09;0;0;0;t0212
dolnoœl¹skie;milicki;2;0.54;0;0;0;t0213
dolnoœl¹skie;oleœnicki;9;0.84;1;1;0;t0214
dolnoœl¹skie;o³awski;7;0.91;0;0;0;t0215
dolnoœl¹skie;polkowicki;12;1.9;0;0;0;t0216
dolnoœl¹skie;strzeliñski;3;0.69;0;0;0;t0217
dolnoœl¹skie;œredzki;1;0.18;0;0;0;t0218
dolnoœl¹skie;œwidnicki;30;1.92;1;0;1;t0219
dolnoœl¹skie;trzebnicki;3;0.35;0;0;0;t0220
dolnoœl¹skie;wa³brzyski;12;2.17;0;0;0;t0221
dolnoœl¹skie;wo³owski;2;0.43;0;0;0;t0222
dolnoœl¹skie;wroc³awski;16;1.04;0;0;0;t0223
dolnoœl¹skie;z¹bkowicki;5;0.78;0;0;0;t0224
dolnoœl¹skie;zgorzelecki;17;1.92;0;0;0;t0225
dolnoœl¹skie;z³otoryjski;1;0.23;0;0;0;t0226
dolnoœl¹skie;Jelenia Góra;8;1.02;0;0;0;t0261
dolnoœl¹skie;Legnica;3;0.3;1;1;0;t0262
dolnoœl¹skie;Wroc³aw;87;1.35;4;4;0;t0264
dolnoœl¹skie;Wa³brzych;15;1.36;0;0;0;t0265
kujawsko-pomorskie;aleksandrowski;6;1.09;0;0;0;t0401
kujawsko-pomorskie;brodnicki;5;0.63;0;0;0;t0402
kujawsko-pomorskie;bydgoski;44;3.68;3;0;3;t0403
kujawsko-pomorskie;che³miñski;23;4.44;0;0;0;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;5;1.11;1;0;1;t0405
kujawsko-pomorskie;grudzi¹dzki;7;1.74;0;0;0;t0406
kujawsko-pomorskie;inowroc³awski;13;0.82;5;0;5;t0407
kujawsko-pomorskie;lipnowski;4;0.61;0;0;0;t0408
kujawsko-pomorskie;mogileñski;2;0.44;0;0;0;t0409
kujawsko-pomorskie;nakielski;22;2.55;0;0;0;t0410
kujawsko-pomorskie;radziejowski;16;3.98;1;0;1;t0411
kujawsko-pomorskie;rypiñski;0;0;2;0;2;t0412
kujawsko-pomorskie;sêpoleñski;10;2.44;0;0;0;t0413
kujawsko-pomorskie;œwiecki;5;0.51;0;0;0;t0414
kujawsko-pomorskie;toruñski;26;2.39;2;0;2;t0415
kujawsko-pomorskie;tucholski;8;1.66;0;0;0;t0416
kujawsko-pomorskie;w¹brzeski;12;3.52;0;0;0;t0417
kujawsko-pomorskie;w³oc³awski;5;0.58;0;0;0;t0418
kujawsko-pomorskie;¿niñski;15;2.14;0;0;0;t0419
kujawsko-pomorskie;Bydgoszcz;106;3.06;7;0;7;t0461
kujawsko-pomorskie;Grudzi¹dz;14;1.49;0;0;0;t0462
kujawsko-pomorskie;Toruñ;65;3.83;1;1;0;t0463
kujawsko-pomorskie;W³oc³awek;13;1.19;3;0;3;t0464
lubelskie;bialski;11;1;0;0;0;t0601
lubelskie;bi³gorajski;13;1.29;0;0;0;t0602
lubelskie;che³mski;11;1.41;2;0;2;t0603
lubelskie;hrubieszowski;14;2.24;1;1;0;t0604
lubelskie;janowski;2;0.44;0;0;0;t0605
lubelskie;krasnostawski;20;3.18;3;0;3;t0606
lubelskie;kraœnicki;8;0.84;5;3;2;t0607
lubelskie;lubartowski;4;0.45;1;1;0;t0608
lubelskie;lubelski;19;1.22;3;0;3;t0609
lubelskie;³êczyñski;12;2.09;2;0;2;t0610
lubelskie;³ukowski;7;0.66;0;0;0;t0611
lubelskie;opolski;6;1.02;0;0;0;t0612
lubelskie;parczewski;0;0;0;0;0;t0613
lubelskie;pu³awski;8;0.71;3;1;2;t0614
lubelskie;radzyñski;9;1.54;1;0;1;t0615
lubelskie;rycki;4;0.72;2;2;0;t0616
lubelskie;œwidnicki;6;0.84;1;1;0;t0617
lubelskie;tomaszowski;14;1.7;1;0;1;t0618
lubelskie;w³odawski;15;3.93;0;0;0;t0619
